COMPONENT|SOFTWARE_TYPE|MEME_HOME DIR|SHORTDSC|LONGDSC
medline_parser.pl|perl|bin|Medline XML File Parser Wrapper|Perl script for starting the java class that parses the Medline files.
norm|csh|bin|LVG norm wrapper|Shell script wrapped around the java LVG implementation of norm.
luiNorm|csh|bin|LVG luiNorm wrapper|Shell script wrapped around the java LVG implementation of luiNorm.
wordind|csh|bin|LVG wordInd wrapper|Shell script wrapped around the java LVG implementation of wordInd.
update_medline_data.pl|perl|bin|Medline XML Update File Handler|Perl script for downloading Medline XML update files and processing them.
process_medline_data.csh|csh|bin|MEME Medline Data Handler|Shell script that handles the output of the XML Medline parser (coc_headings.dat, coc_subheading.dat, etc.).
update_src.csh|csh|bin|Algorithmic update for SRC concepts|Shell script that handles updating the RXNORM, MED, and MBD SRC concepts.
atts_to_stringtab.csh|csh|bin|atts_to_stringtab.csh|Generates stringtab.src from attributes.src.
classes_to_strings.csh|csh|bin|classes_to_strings.csh|Shell script that produces a string.src from classes_atoms.src.
load_section.csh|csh|bin|Perform load step|Shell script that perform all load step up to merging.
load_src.csh|csh|bin|Load .src file into database|Shell script that loads .src files into database.
raw_to_contexts.csh|csh|bin|Produces contexts.src|Shell script that takes a directory containing raw3 or raw2 files and produces a contexts.src from it.
start.pl|perl|bin|Server Start Script|Perl script for starting the <i>MEME Application Server</i>.
merge.pl|perl|bin|Merge Engine Script|Perl script for running the merge engine.
mthtm.pl|perl|bin|MTH/TM Management Script|Perl script for managing the MTH/TM and MTH/MM atoms during the editing cycle and for releases.
insert.pl|perl|bin|Batch Insert Script|Perl script for performing batch inserts.
batch.pl|perl|bin|Batch Action Script|Perl script for performing batch actions.
stamping.pl|perl|bin|Stamping Script|Perl script for performing stamping actions.
undo.pl|perl|bin|Action Undo Script|Perl script for undoing batch/macro actions.
redo.pl|perl|bin|Action Redo Script|Perl script for redoing batch/macro actions.
admin.pl|perl|bin|Administrative Services Script|Perl script providing access to MEME4 administrative services.
shutdown.pl|perl|bin|Server Shutdown Script|Perl script for stopping the <i>MEME Application Server</i>.
reports.pl|perl|bin|Reports Client (reports.pl)|Perl script for generating concept reports.
